Baden-Württemberg	Bádensko-Württembersko
Bayern	Bavorsko
Brandenburg	Braniborsko
Bremen	Brémy
Burgenland	Burgenland
Hamburg	Hamburk
Hessen	Hesensko
Kärnten	Korutany
Mecklenburg-Vorpommern	Meklenbursko-Přední Pomořansko
Niedersachsen	Dolní Sasko
Niederösterreich	Dolní Rakousko
Nordrhein-Westfalen	Severní Porýní-Vestfálsko
Oberösterreich	Horní Rakousko
Rheinland-Pfalz	Porýní-Falc
Saarland	Sársko
Sachsen	Sasko
Sachsen-Anhalt	Sasko-Anhaltsko
Salzburg	Salcbursko
Schleswig-Holstein	Šlesvicko-Holštýnsko
Steiermark	Štýrsko
Thüringen	Durynsko
Tirol	Tyrolsko
Vorarlberg	Vorarlbersko
Wien	Vídeň
cn-34	An-chuej
cn-11	Peking
cn-50	Čchung-čching
CN-	Fu-ťien
cn-62	Kan-su
cn-44	Kuang-tung
cn-45	Kuang-si
cn-52	Kuej-čou
cn-46	Chaj-nan
cn-13	Che-pej
cn-23	Chej-lung-ťiang
cn-41	Che-nan
cn-42	Chu-pej
cn-43	Chu-nan
cn-15	Vnitřní Mongolsko
cn-32	Ťiang-su
cn-36	Ťiang-si
cn-22	Ťi-lin
cn-21	Liao-ning
cn-64	Ning-sia
cn-63	Čching-chaj
cn-61	Šen-si
cn-37	Šan-tung
cn-31	Šanghaj
cn-14	Šan-si
cn-51	S'-čchuan
cn-12	Tchien-ťin
cn-65	Sin-ťiang
cn-54	Tibetská autonomní oblast
cn-53	Jün-nan
cn-33	Če-ťiang
Andaman and Nicobar	Andamany a Nikobary
Andhra Pradesh	Ándhrapradéš
Arunachal Pradesh	Arunáčalpradéš
Assam	Ásám
Bihar	Bihár
Chandigarh	Čhattísgarh
Chhattisgarh	Čandígarh
Dadra and Nagar Haveli	Dádra a Nagar-havéli
Daman and Diu	Damán a Díjú
Delhi	Dillí
Goa	Goa
Gujarat	Gudžarát
Haryana	Harijána
Himachal Pradesh	Himáčalpradéš
Jammu and Kashmir	Džammú a Kašmír
Jharkhand	Džhárkhand
Karnataka	Karnátaka
Kerala	Kérala
Lakshadweep	Lakadivy / Lakšadvíp
Madhya Pradesh	Madhjapradéš
Maharashtra	Maháráštra
Manipur	Manípur
Meghalaya	Méghálaj
Mizoram	Mizóram
Nagaland	Nágáland
Orissa	Urísa
Prague	Praha
Puducherry	Puttuččéri
Punjab	Paňdžáb
